island,season,moon,n_all,n_fish,dropped,peak_n,n_tied,peak_mid,centroid,arr_dafm,dep_dafm
CB,2007,Feb,7,7,0,7.0,1.0,2.47,2.84,-4.98,9.17
CB,2008,Feb,19,3,16,3.0,8.0,2.56,3.47,-1.69,7.22
CB,2009,Feb,8,8,0,8.0,1.0,4.09,2.06,-3.26,7.32
CB,2010,Jan,4,4,0,4.0,11.0,4.45,4.02,-1.18,9.21
GC,2010,Jan,4,1,3,,,,,,
GC,2015,Feb,3,3,0,2.0,1.0,1.74,-0.51,1.58,1.58
LC,2005,Jan,29,0,29,,,,,,
LC,2006,Jan,40,40,0,37.0,2.0,5.8,6.67,1.28,12.07
LC,2007,Feb,18,18,0,15.0,1.0,2.47,4.67,-1.15,10.09
LC,2015,Feb,21,0,21,,,,,,
LC,2016,Feb,21,15,6,15.0,7.0,1.94,1.14,-4.08,6.41
LC,2017,Feb,19,17,2,17.0,4.0,1.69,1.14,-3.24,5.5
LC,2019,Feb,13,4,9,4.0,10.0,3.05,3.0,-2.23,7.74
LC,2020,Feb,9,9,0,9.0,4.0,3.89,2.17,-2.62,6.17
LC,2021,Jan,8,8,0,8.0,9.0,1.91,1.64,-3.16,6.44
LC,2022,Jan,7,7,0,7.0,1.0,1.72,5.55,-0.21,11.8
LC,2023,Feb,5,5,0,5.0,8.0,1.44,1.44,-2.14,4.65
LC,2024,Jan,5,3,2,3.0,9.0,1.96,1.4,-3.86,6.62
