station,island,lat,lon
CB 7 REC,CB,19.75949,-79.73883
CB 8 REC,CB,19.73187,-79.73263
CB EE REC,CB,19.75497,-79.71313
CB NE,CB,19.7395,-79.78349
CB NW REC,CB,19.70962,-79.85049
CB SE REC,CB,19.71403,-79.7688
CB SW REC,CB,19.6884,-79.84439
CB WE REC,CB,19.68354,-79.90572
LC LF SSE,LC,19.67953,-80.02198
LC LF SW,LC,19.65583,-80.0895
LC REC 1,LC,19.64998,-80.12083
LC REC 10,LC,19.69947,-79.94742
LC REC 11,LC,19.69232,-79.97467
LC REC 12,LC,19.686,-80.00747
LC REC 13,LC,19.67127,-80.03588
LC REC 14,LC,19.65643,-80.06371
LC REC 15,LC,19.6554,-80.09352
LC REC 16,LC,19.65315,-80.12328
LC REC 2,LC,19.65352,-80.11277
LC REC 3,LC,19.66408,-80.11253
LC REC 4,LC,19.67755,-80.09628
LC REC 5,LC,19.68983,-80.07072
LC REC 6,LC,19.70062,-80.06497
LC REC 7,LC,19.70546,-80.03178
LC REC 8,LC,19.71156,-80.00019
LC REC 9,LC,19.7211,-79.9679
LC S Hole S,LC,19.65725,-80.07537
LR 1,LR,19.70109,-80.06307
LR 1E,LR,19.70147,-80.06221
LR 2,LR,19.70162,-80.06105
LR 2.5,LR,19.70187,-80.05986
LR 3,LR,19.70203,-80.05877
LR 3E,LR,19.70224,-80.05846
LR 4,LR,19.70258,-80.05667
LR 4W,LR,19.70253,-80.0573
LR 5,LR,19.70294,-80.05471
LR 6,LR,19.70308,-80.05245
LR 7,LR,19.70316,-80.05047
LR 7W,LR,19.70321,-80.05103
LR 8,LR,19.70343,-80.04852
LR 9,LR,19.70365,-80.04635
