animal_id,capture_date,island,location_name,transmitter,tag_valid_from,tag_valid_until,length_cm,weight_kg,sex_best,tag_family,tag_delay_min_s,tag_delay_max_s,tag_est_life_days
GMP-0004,2005-01-25,LC,LC west end south bouy,A69-1206-3918,2005-01-25,,77.0,10,F,,,,
GMP-0005,2005-01-25,LC,LC west end south bouy,A69-1206-3919,2005-01-25,,56.0,3,M,,,,
GMP-0006,2005-01-26,LC,LC west end south bouy,A69-1105-42,2005-01-26,,83.0,12,F,,,,
GMP-0007,2005-01-26,LC,LC west end south bouy,A69-1105-43,2005-01-26,,62.0,5,M,,,,
GMP-0008,2005-01-26,LC,LC west end south bouy,A69-1105-44,2005-01-26,,64.0,5,M,,,,
GMP-0009,2005-01-26,LC,LC west end south bouy,A69-1206-3900,2005-01-26,,64.0,5,F,,,,
GMP-0010,2005-01-26,LC,LC west end south bouy,A69-1206-3907,2005-01-26,,64.0,4,M,,,,
GMP-0011,2005-01-26,LC,LC west end south bouy,A69-1206-3908,2005-01-26,,52.0,2,F,,,,
GMP-0012,2005-01-26,LC,LC west end south bouy,A69-1206-3914,2005-01-26,,64.0,5,F,,,,
GMP-0013,2005-01-26,LC,LC west end south bouy,A69-1206-3920,2005-01-26,,67.0,6,F,,,,
GMP-0014,2005-01-26,LC,LC west end south bouy,A69-1206-3924,2005-01-26,,74.0,9,M,,,,
GMP-0015,2005-01-27,LC,LC west end south bouy,A69-1105-40,2005-01-27,,64.0,4.95,M,,,,
GMP-0016,2005-01-27,LC,LC west end south bouy,A69-1105-41,2005-01-27,,70.0,6,F,,,,
GMP-0017,2005-01-27,LC,LC west end south bouy,A69-1206-3901,2005-01-27,,65.0,4,F,,,,
GMP-0018,2005-01-27,LC,LC west end south bouy,A69-1206-3902,2005-01-27,,71.0,7,F,,,,
GMP-0019,2005-01-27,LC,LC west end south bouy,A69-1206-3903,2005-01-27,,64.0,5,F,,,,
GMP-0020,2005-01-27,LC,LC west end south bouy,A69-1206-3906,2005-01-27,,68.0,5,F,,,,
GMP-0021,2005-01-27,LC,LC west end south bouy,A69-1206-3909,2005-01-27,,83.0,12,F,,,,
GMP-0022,2005-01-27,LC,LC west end south bouy,A69-1206-3910,2005-01-27,,72.0,7,F,,,,
GMP-0023,2005-01-27,LC,LC west end south bouy,A69-1206-3911,2005-01-27,,65.0,5,M,,,,
GMP-0024,2005-01-27,LC,LC west end south bouy,A69-1206-3912,2005-01-27,,64.0,5,M,,,,
GMP-0025,2005-01-27,LC,LC west end south bouy,A69-1206-3913,2005-01-27,,63.0,4,F,,,,
GMP-0026,2005-01-27,LC,LC west end south bouy,A69-1206-3915,2005-01-27,,63.0,4,F,,,,
GMP-0027,2005-01-27,LC,LC west end south bouy,A69-1206-3916,2005-01-27,,72.0,7,F,,,,
GMP-0028,2005-01-27,LC,LC west end south bouy,A69-1206-3917,2005-01-27,,84.0,11,F,,,,
GMP-0029,2005-01-27,LC,LC west end south bouy,A69-1206-3921,2005-01-27,,81.0,12,F,,,,
GMP-0030,2005-01-27,LC,LC west end south bouy,A69-1206-3922,2005-01-27,,76.0,9,M,,,,
GMP-0031,2005-01-27,LC,LC west end south bouy,A69-1206-3923,2005-01-27,,63.0,4,F,,,,
GMP-0032,2005-01-27,LC,LC west end south bouy,A69-1206-3943,2005-01-27,,64.0,5,F,,,,
GMP-0033,2005-01-27,LC,LC west end south bouy,A69-1206-3944,2005-01-27,,64.0,4,F,,,,
GMP-0034,2005-04-10,LC,Rec 12,A69-1206-3925,2005-04-10,,44.0,3,,,,,
GMP-0035,2005-04-10,LC,Rec 11,A69-1206-3939,2005-04-10,,53.0,2,,,,,
GMP-0036,2005-04-11,LC,Rec 10,A69-1206-3928,2005-04-11,,61.0,4,M,,,,
GMP-0037,2005-04-12,LC,Rec 7,A69-1206-3930,2005-04-12,,55.0,3,,,,,
GMP-0038,2005-04-16,LC,WP 066,A69-1206-3936,2005-04-16,,75.0,10,,,,,
GMP-0039,2005-04-18,LC,070/072,A69-1206-3927,2005-04-18,,68.0,6,M,,,,
GMP-0040,2005-04-18,LC,Lucas Ledges,A69-1206-3933,2005-04-18,,52.0,2,,,,,
GMP-0041,2005-04-20,LC,WP076 nr rec 15,A69-1206-3926,2005-04-20,,63.0,5,M,,,,
GMP-0042,2005-07-30,LC,WP119,A69-1206-3937,2005-07-30,,58.0,4,,,,,
GMP-0043,2005-07-30,LC,WP 123,A69-1206-3938,2005-07-30,,63.0,6,,,,,
GMP-0044,2005-07-31,LC,WP130,A69-1206-3942,2005-07-31,,60.0,4,,,,,
GMP-0045,2005-08-01,LC,EE 132,A69-1206-3905,2005-08-01,,63.0,5,,,,,
GMP-0046,2005-08-01,LC,WP 128,,2005-08-01,,52.0,2,,,,,
GMP-0047,2005-08-01,LC,Crystal Palace WP131,A69-1206-3940,2005-08-01,,64.0,4,,,,,
GMP-0048,2005-08-02,LC,WP135,A69-1206-3934,2005-08-02,,54.0,2,,,,,
GMP-0049,2005-08-02,LC,WP 136 nr bus stop,A69-1206-3941,2005-08-02,,59.0,4,,,,,
GMP-0050,2005-08-03,LC,WP 137,A69-1206-3904,2005-08-03,,66.0,5,,,,,
GMP-0051,2005-08-03,LC,WP 141,A69-1206-3932,2005-08-03,,57.0,4,,,,,
GMP-0052,2005-08-03,LC,WP 140,A69-1206-3935,2005-08-03,,74.0,8,,,,,
GMP-0053,2005-08-05,LC,WP Randys,A69-1206-3929,2005-08-05,,58.0,4,,,,,
GMP-0054,2006-07-19,CB,brac,,2006-07-19,,68.0,7,,,,,
GMP-0056,2006-07-20,CB,brac,A69-1206-4047,2006-07-20,,54.0,2,M,,,,
GMP-0057,2006-07-20,CB,brac,A69-1206-4049,2006-07-20,,60.0,4,,,,,
GMP-0059,2006-07-27,CB,brac,A69-1206-4041,2006-07-27,,45.0,2,,,,,
GMP-0061,2006-07-28,CB,brac,A69-1206-4042,2006-07-28,,66.0,4,,,,,
GMP-0062,2006-10-06,CB,brac,,2006-10-06,,58.0,4,M,,,,
GMP-0063,2006-10-06,CB,brac,,2006-10-06,,71.0,7,,,,,
GMP-0064,2006-10-07,CB,brac,A69-1206-4054,2006-10-07,,60.0,4,,,,,
GMP-0065,2008-01-23,CB,CBEE mooring,A69-1206-4043,2008-01-23,,63.0,none,M,,,,
GMP-0066,2008-01-24,CB,CBEE mooring,A69-1105-54,2008-01-24,,57.5,3.25,M,,,,
GMP-0067,2008-01-24,CB,CBEE mooring,A69-1303-9755,2008-01-24,,59.0,3.5,F,,,,
GMP-0068,2008-01-24,CB,CBEE mooring,A69-1303-9761,2008-01-24,,55.5,3.25,F,,,,
GMP-0069,2008-01-25,CB,CBEE mooring,A69-1105-55,2008-01-25,,62.0,4.5,F,,,,
GMP-0070,2008-01-25,CB,CBEE mooring,A69-1105-57,2008-01-25,,71.0,7.5,M,,,,
GMP-0071,2008-01-25,CB,CBEE mooring,A69-1105-59,2008-01-25,,60.0,4,M,,,,
GMP-0072,2008-01-25,CB,CBEE mooring,A69-1105-60,2008-01-25,,66.0,6.25,F,,,,
GMP-0073,2008-01-25,CB,CBEE mooring,A69-1105-62,2008-01-25,,63.0,4,F,,,,
GMP-0074,2008-01-25,CB,CBEE mooring,A69-1105-63,2008-01-25,,72.0,7.5,F,,,,
GMP-0075,2008-01-25,CB,CBEE mooring,A69-1303-9753,2008-01-25,,62.0,5,,,,,
GMP-0076,2008-01-25,CB,CBEE mooring,A69-1303-9756,2008-01-25,,59.0,4,F,,,,
GMP-0077,2008-01-25,CB,CBEE mooring,A69-1303-9758,2008-01-25,,60.0,3.5,F,,,,
GMP-0078,2008-01-25,CB,CBEE mooring,A69-1303-9759,2008-01-25,,62.0,4.5,F,,,,
GMP-0079,2008-01-25,CB,CBEE mooring,A69-1303-9762,2008-01-25,,63.0,5,F,,,,
GMP-0080,2008-01-27,CB,CBEE mooring,A69-1105-61,2008-01-27,,68.0,6.25,F,,,,
GMP-0081,2008-01-27,CB,CBEE mooring,A69-1206-4051,2008-01-27,,56.0,3.5,F,,,,
GMP-0082,2008-01-27,CB,CBEE mooring,A69-1206-4053,2008-01-27,,69.5,6,F,,,,
GMP-0083,2008-01-27,CB,CBEE mooring,A69-1303-9754,2008-01-27,,70.5,7,F,,,,
GMP-0084,2008-01-27,CB,CBEE mooring,A69-1303-9757,2008-01-27,,60.0,4,F,,,,
GMP-0085,2008-01-27,CB,CBEE mooring,A69-1303-9760,2008-01-27,,67.0,6.25,F,,,,
GMP-0112,2015-02-04,LC,,A69-9001-23066,2015-02-04,,67.0,,M,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0113,2015-02-04,LC,,A69-9001-23067,2015-02-04,,67.0,,M,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0114,2015-02-04,LC,,A69-9001-23068,2015-02-04,,61.0,,M,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0115,2015-02-04,LC,,A69-9001-23069,2015-02-04,,57.0,,F,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0116,2015-02-04,LC,,A69-9001-23070,2015-02-04,,74.5,,F,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0117,2015-02-04,LC,,A69-9001-23071,2015-02-04,,80.0,,F,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0118,2015-02-04,LC,,A69-9001-23072,2015-02-04,,71.5,,F,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0119,2015-02-04,LC,,A69-9001-23073,2015-02-04,,64.0,,M,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0120,2015-02-04,LC,,A69-9001-23074,2015-02-04,,67.0,,F,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0121,2015-02-04,LC,,A69-9001-23075,2015-02-04,,76.0,,F,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0122,2015-02-04,LC,,A69-9001-23076,2015-02-04,,65.0,,M,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0123,2015-02-04,LC,,A69-9001-23077,2015-02-04,,73.0,,F,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0124,2015-02-04,LC,,A69-9001-23078,2015-02-04,,76.0,,F,V16-4x-069k-1,100.0,200.0,2928.0
GMP-0127,2015-02-05,LC,,A69-9001-28112,2015-02-05,,65.0,,M,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0128,2015-02-05,LC,,A69-9001-28113,2015-02-05,,67.0,,F,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0129,2015-02-05,LC,,A69-9001-28114,2015-02-05,,72.0,,F,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0130,2015-02-05,LC,,A69-9001-28115,2015-02-05,,62.0,,F,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0131,2015-02-05,LC,,A69-9001-28116,2015-02-05,,62.0,,F,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0133,2015-02-05,LC,,A69-9001-28118,2015-02-05,,70.0,,M,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0134,2015-02-05,LC,,A69-9001-28119,2015-02-05,,67.0,,F,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0135,2015-02-05,LC,,A69-9001-28120,2015-02-05,,65.5,,M,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0136,2015-02-05,LC,,A69-9001-28121,2015-02-05,,65.0,,M,V16-4x-069k-1,100.0,200.0,1638.0
GMP-0145,2016-01-31,LC,south mooring,A69-9002-8232,2016-01-31,,55.0,,M,V13AP-1x-069k-1-50m,100.0,200.0,506.0
GMP-0146,2016-01-31,LC,south mooring,A69-9002-8276,2016-01-31,,85.0,,F,V13AP-1x-069k-1-100m,100.0,200.0,506.0
GMP-0147,2016-01-31,LC,south mooring,A69-9002-8278,2016-01-31,,67.0,,F,V13AP-1x-069k-1-100m,100.0,200.0,506.0
GMP-0148,2016-01-31,LC,south mooring,A69-9002-8280,2016-01-31,,67.5,,F,V13AP-1x-069k-1-100m,100.0,200.0,506.0
